example_id,source_uid,source_split,question,paragraph_count,table_count
MHDEV-0001,7d840731012a4a09a735eeee286c364b,dev,Which year is Total Revenues of Group retirement products the most?,68,4
MHDEV-0002,63260a43bc4e4632a0317eb820caf964,dev,What will Distribution fees reach in 2010 if it continues to grow at its current rate? (in millions),74,4
MHDEV-0003,7f9cd61fc4264c9bb81cdcfd2c5c4c38,dev,What was the total amount of Amount in 2007 for Financial Services Businesses ? (in million),78,4
MHDEV-0004,b7642f569ac54d28af0a4a16683d3f35,dev,Does the average value of Power purchase agreements in Entergy Arkansas greater than that in Entergy Louisiana?,57,4
MHDEV-0005,5cc19228085048228131f5d77196655d,dev,What is the ratio of Securities to the total for Net realized losses reclassified into earnings in 2008?,131,4
MHDEV-0006,1ca146715d8b4ed9a102b68af5bdd385,dev,How many Below Investment Grade exceed the average of Below Investment Grade in 2004?,67,4
MHDEV-0007,a60e6202dde64cbb9c7eb29ed5fd3fe2,dev,containerboards net sales represented what percentage of industrial packaging sales in 2005?,131,4
MHDEV-0008,b6e47615b28841deaacce680de41c65c,dev,"What's the difference of Securities America, Inc.-3(4) between 2010 and 2009 forActual Capital? (in million)",74,3
MHDEV-0009,9b1a8a210c654f1aada293d3ea35429e,dev,What is the ratio of Total cards-in-force in Table 1 to the Other in Table 0 in 2016?,67,3
MHDEV-0010,6a6d7accb802496fa8e7ed474f117d38,dev,"In the year / section with largest amount of Average contract revenue per MWh, what's the sum of Planned net MW in operation?",113,6
MHDEV-0011,b06dcff918b84dbc8bdc39df31d6c355,dev,What is the average value of Total revenues in Table 2 and Restricted stock awards in Table 1 in 2007? (in million),62,3
MHDEV-0012,0fc058f14a954e6eb3d22d45a76ef981,dev,What was the total amount of Allowance greater than 270 in 2018? (in million),88,5
MHDEV-0013,a779b55236c7402fb7a09102e4295673,dev,What is the sum of Aircraft on Firm Order in 2009?,74,4
MHDEV-0014,723cdadfdcfc48f68cc952f98977cf62,dev,In which year is Other Expense greater than 30000?,88,3
MHDEV-0015,404ce5c5eb06402d8172096ca3cd0bd1,dev,What is the sum of the Cost of sales in the years where Net sales is greater than 1000? (in million),66,4
MHDEV-0016,9b2dc866091743d7b190417a4307a3c4,dev,what was the change in advertising costs from 2001 to 2002?,97,4
MHDEV-0017,bbcbe3ddf43449a08763a2f7d7986260,dev,What is the sum amount of Capital lease obligations in the years with the lowest amount of Operating lease obligations? (in dollars in millions),74,3
MHDEV-0018,161facf717424d17af248fcb4fdb738a,dev,"What is the growth rate of Balance between December 31, 2008 and December 31, 2009?",70,4
MHDEV-0019,05be07b07d5a44ca8398c7ec38271bc6,dev,what is the pre-tax aggregate net unrealized loss in 2008?,47,3
MHDEV-0020,ce038f0f07ed4f90a13b4134d41bfa3e,dev,"In the year with largest amount of government, what's the increasing rate of education?",76,4
MHDEV-0021,7389cfa35a894e14bf0773e29d326973,dev,"What's the sum of Debt maturities of Thereafter, and Capital lease obligations of Less than 1 year ?",97,4
MHDEV-0022,032145bd6fdd4712b05cd5495f7c8f35,dev,"What is the proportion of Asset Management to the total Mortgage and other loans receivable, net of allowance in 2006?",89,3
MHDEV-0023,9df041a1ce9440c2aaaf77f773811fcb,dev,What was the total amount of Amount greater than 5000 in 2013?,94,4
MHDEV-0024,071e671820fa4f89b003923a38b03741,dev,what was the percentage change in the allowance for loan losses from 2008 to 2009?,35,3
MHDEV-0025,4251b0c576c3429085b0f79fe3594b32,dev,What is the growing rate of Net credit losses in the year with the most Provision for benefits and claims?,82,3
MHDEV-0026,f1b58737e9a34f60b4882c8b7226395e,dev,"What do all collateralized financings sum up in 2018 , excluding Repurchase agreements and Securities loaned? (in million)",75,4
MHDEV-0027,b86d620b573c45ffae2f15fb5a02e688,dev,"In the year with the most other revenues , what is the growth rate of General and administrative expense? (in million)",93,4
MHDEV-0028,9e8eb2e5a768431c99abaef9de32a4ec,dev,"as of february 19 , 2016 what was the market capitalization",86,4
MHDEV-0029,e4d6c1e51b0b49d895b73472bb9f0dc0,dev,What was the total amount of Net interest revenue and Non-interest revenue in 2009 ? (in million),79,3
MHDEV-0030,612ad8b5f4f94223b2e4b3d38a00951f,dev,What is the sum of the amount of Equity securities in the range of 50 million and 100 million? (in million),65,4
MHDEV-0031,d67cd399e6b94bb4a6cdb39afaf0f8f4,dev,what was the percentage change in cash from operations between 2008 and 2009?,115,7
MHDEV-0032,11904e0323e04189a6d0c03ebec8c27f,dev,What was the average of the Total operating revenues in the year where Other investment income/(losses) is positive? (in million),96,4
MHDEV-0033,7ba60c94b1534e128a1841bbbb1a382e,dev,What's the sum of Collections reinvested in revolving period securitizations in terms of Home Equity in 2009? (in dollars in millions),113,3
MHDEV-0034,000682417fd9450bb10fee113dae5fcc,dev,What will principal transaction be like in 2013 if it develops with the same increasing rate as current?,67,5
MHDEV-0035,91afe10a7407428c9bbad202945e060e,dev,what was the average operating leases 2014rental expense for operating leases from 2009 to 2011,59,4
MHDEV-0036,abb228ebc069473dbd8a62729def4b35,dev,what is the highest total amount of North Sea?,98,5
MHDEV-0037,ae2ce9e907114dd786d4a02437917f15,dev,What is the sum of Securities loaned in 2017 and Aggregate contractual principal in excess of fair value in 2015? (in million),75,4
MHDEV-0038,930465d2a8a14fbc9c3de57267a5f067,dev,What is the average increasing rate of Purchased power between 2017 and 2018? (in million),67,5
MHDEV-0039,6b77c2a63b8d4c268d745c78abf7db2a,dev,What will Total trading account assets be like in 2011 if it continues to grow at the same rate as it did in 2010? (in million),33,3
MHDEV-0040,8caf20e28a314f43a0bc3fdbadcc2220,dev,What is the growing rate of BENEFIT OBLIGATION AT END OF YEAR for Con Edison in the year with the least Benefit obligation at beginning of year for Con Edison?,56,3
MHDEV-0041,70ee07d30a8b46e195c791b6d69b9534,dev,What's the total amount of the Net income for Amount in the years where Operating activities for Total cash provided by (used in) is greater than 1760? (in million),148,6
MHDEV-0042,6cd056489ef745088e88f09c847c8ad9,dev,"as of december 31 , 2017 , what was the percent of the 2016 program remaining available for purchase",77,4
MHDEV-0043,e258d39d9df44652a28ca25d0304b0ed,dev,"In the year with the most Total fixed rate debt, what is the amount of Variable rate debt and total?",37,4
MHDEV-0044,05d560d08fbc406990e7b02b415aa60a,dev,"what's the total amount of Loss expenses Casualty of 2008 Gross, and Case reserves of 2009 Gross ?",35,4
MHDEV-0045,0bcf9238356d41029754e323fa14108d,dev,What is the proportion of Pensions' Service cost of of net periodic benefit cost in U.S. Plans to the total in 2006?,39,3
MHDEV-0046,2a9928d6aa7a42b9b76531cf98982a26,dev,"What is the total amount of Net cash used in financing activities of 2010, Individual fixed annuities of Net Investment Income, and Group retirement products of Total Revenues ?",68,4
MHDEV-0047,d126a1c3049746bba48ef34ad2dd159f,dev,What is the proportion of Land and land development for Nonperforming Loans andForeclosed Properties-1 to the total in 2011?,86,4
MHDEV-0048,838d349beccf4e2ebb0c04f518fa07e4,dev,What's the sum of the Net investment income in the years where Other income is positive? (in million),84,5
MHDEV-0049,b52ac057503f483ca5e6a9c4bbef9367,dev,"What is the sum of CET1 capital, Tier 1 capital and Total capital in 2017? (in million)",58,3
MHDEV-0050,22c216d2b29747adaf2c1f8ef4f954fa,dev,What's the sum of the Unit redemptions in the years where Mortgages Payable for Carrying Amounts is positive?,55,5
